R,index,pNoInt
2531,zwindow_1-0_sl_Bxz,-0.075540389203
2531,zwindow_1-0_sl_Bz,0.31701019495
2531,zwindow_1-1_h_0--1_B,-0.021199909190310003
2531,zwindow_1-1_h_0--1_Bx,0.37331671865999994
2531,zwindow_1-1_h_0--1_Bxz,0.21676217569000003
2531,zwindow_1-1_h_0--1_Bz,-0.033226996046900006
2531,zwindow_1-1_h_0--2_B,-0.25172411145999996
2531,zwindow_1-1_h_0--2_Bx,0.45889666975999993
2531,zwindow_1-1_h_0--2_Bxz,0.41842469096
2531,zwindow_1-1_h_0--2_Bz,-0.044161899952
2531,zwindow_1-1_h_0-0_B,-0.07074634088000001
2531,zwindow_1-1_h_0-0_Bx,0.41222135158000006
2531,zwindow_1-1_h_0-0_Bxz,0.27254060028
2531,zwindow_1-1_h_0-0_Bz,-0.07681480339160002
2531,zwindow_1-1_h_0-1_B,-0.14114523346100002
2531,zwindow_1-1_h_0-1_Bx,0.27128762960999997
2531,zwindow_1-1_h_0-1_Bxz,0.27513261799
2531,zwindow_1-1_h_0-1_Bz,-0.100780645772
2531,zwindow_1-1_h_0-2_B,-0.05036296017019
2531,zwindow_1-1_h_0-2_Bx,0.22027012198000004
2531,zwindow_1-1_h_0-2_Bxz,0.32973174806000005
2531,zwindow_1-1_h_0-2_Bz,-0.05919105348347
2531,zwindow_1-1_sl_B,-0.08411385893300002
2531,zwindow_1-1_sl_Bx,0.38148097724
2531,zwindow_1-1_sl_Bxz,0.22390424072999998
2531,zwindow_1-1_sl_Bz,-0.023429949811879007
2531,zwindow_2-0_h_0--1_B,0.18560528307999996
2531,zwindow_2-0_h_0--1_Bx,0.12993189295099997
2531,zwindow_2-0_h_0--1_Bxz,-0.3482723379
2531,zwindow_2-0_h_0--1_Bz,0.36240729390000004
2531,zwindow_2-0_h_0--2_B,0.39243639832000005
2531,zwindow_2-0_h_0--2_Bx,0.088517924069
2531,zwindow_2-0_h_0--2_Bxz,-0.67837422609
2531,zwindow_2-0_h_0--2_Bz,0.49742073480000015
2531,zwindow_2-0_h_0-0_B,0.102715416108
2531,zwindow_2-0_h_0-0_Bx,0.14531824414
2531,zwindow_2-0_h_0-0_Bxz,-0.25519438984
2531,zwindow_2-0_h_0-0_Bz,0.61786799965
2531,zwindow_2-0_h_0-1_B,0.19085933075
2531,zwindow_2-0_h_0-1_Bx,0.14946345025000002
2531,zwindow_2-0_h_0-1_Bxz,-0.30163618323999997
2531,zwindow_2-0_h_0-1_Bz,0.60034227491
2531,zwindow_2-0_h_0-2_B,0.24721657175
2531,zwindow_2-0_h_0-2_Bx,0.087814751743
2531,zwindow_2-0_h_0-2_Bxz,-0.37836780634999995
