runs,blockType,uStar,z0,disp,id,A,C,WS,delT,xPos,zPos,uStarNorm,uStar_2,z0_2,u10_2,uScaling
2542,Bxz,0.6187993719243221,1.2515030852242413,0.0,1.0,45.0,2.0,4.0,5.0,0.5,0.5,0.15469984298108053,0.5677836126199135,0.366,4.580638663049573,1.1451596657623933
2542,Bz,0.6775490951104429,1.1513376295143583,0.0,2.0,45.0,2.0,4.0,5.0,2.5,0.5,0.16938727377761073,0.6253747257611552,0.366,5.0452594686511425,1.2613148671627856
2550,B,0.26861094054379764,0.9351180461584372,0.0,2.5,0.0,2.0,2.0,0.0,2.5,2.5,0.13430547027189882,0.2516835306280769,0.366,2.030476550614269,1.0152382753071345
2550,Bx,0.3492362376564799,1.7136619653522056,0.0,2.5,0.0,2.0,2.0,0.0,0.5,2.5,0.17461811882823994,0.3134872826277937,0.366,2.5290831493942587,1.2645415746971294
2550,Bxz,0.28340021497637735,1.0253377972612754,0.0,0.5,0.0,2.0,2.0,0.0,0.5,0.5,0.14170010748818868,0.263892567938329,0.366,2.1289739131638874,1.0644869565819437
2550,Bz,0.3576715642986207,1.7237817950994878,0.0,0.5,0.0,2.0,2.0,0.0,2.5,0.5,0.17883578214931034,0.3209301322029577,0.366,2.5891289199474867,1.2945644599737434
2551,B,0.2636324906129116,0.9113563667912097,0.0,2.5,0.0,2.0,2.0,5.0,2.5,2.5,0.1318162453064558,0.24750380259255755,0.366,1.9967562680717916,0.9983781340358958
2551,Bx,0.34819967918505257,1.7449624126489454,0.0,2.5,0.0,2.0,2.0,5.0,0.5,2.5,0.17409983959252628,0.3121881318563162,0.366,2.518602149026,1.259301074513
2551,Bxz,0.271120131918828,0.9876635529806976,0.0,0.5,0.0,2.0,2.0,5.0,0.5,0.5,0.135560065959414,0.25306155494404403,0.366,2.041593869466103,1.0207969347330514
2551,Bz,0.34665773480398576,1.7188455760147896,0.0,0.5,0.0,2.0,2.0,5.0,2.5,0.5,0.17332886740199288,0.3110344350139665,0.366,2.5092946095971667,1.2546473047985833
2552,B,0.30910217735163675,0.9816117540034361,0.0,2.5,0.0,2.0,2.0,5.0,2.5,2.5,0.15455108867581838,0.2886442358736975,0.366,2.3286599283987286,1.1643299641993643
2552,Bx,0.39500552826241764,1.7286733127548586,0.0,2.5,0.0,2.0,2.0,5.0,0.5,2.5,0.19750276413120882,0.354359804603953,0.366,2.858825414332907,1.4294127071664535
2552,Bxz,0.3088738454241827,1.0178866393767627,0.0,0.5,0.0,2.0,2.0,5.0,0.5,0.5,0.15443692271209136,0.2877190875548912,0.366,2.3211962220430182,1.1605981110215091
2552,Bz,0.3880314087942517,1.7104652664356386,0.0,0.5,0.0,2.0,2.0,5.0,2.5,0.5,0.19401570439712584,0.34828373760450515,0.366,2.809806269013576,1.404903134506788
2560,B,0.585487425397412,0.9758489919080646,0.0,2.5,0.0,2.0,4.0,0.0,2.5,2.5,0.146371856349353,0.5471343252509566,0.366,4.414048923606029,1.1035122309015073
2560,Bx,0.7530690000352589,1.7236025124830083,0.0,2.5,0.0,2.0,4.0,0.0,0.5,2.5,0.18826725000881472,0.6757899322766623,0.366,5.451988086803694,1.3629970217009235
2560,Bxz,0.5572471429728079,0.985175378704483,0.0,0.5,0.0,2.0,4.0,0.0,0.5,0.5,0.13931178574320197,0.5202227106651909,0.366,4.196937369984688,1.049234342496172
2560,Bz,0.7004256992309499,1.6723455498093436,0.0,0.5,0.0,2.0,4.0,0.0,2.5,0.5,0.17510642480773747,0.6297062539387821,0.366,5.080204410702171,1.2700511026755428
2561,B,0.5820243189146463,0.9712734816180725,0.0,2.5,0.0,2.0,4.0,5.0,2.5,2.5,0.14550607972866159,0.5440906534066536,0.366,4.389493863160876,1.097373465790219
2561,Bx,0.7486074814077316,1.710103210202422,0.0,2.5,0.0,2.0,4.0,5.0,0.5,2.5,0.1871518703519329,0.6721049873685296,0.366,5.4222595058051795,1.3555648764512949
2561,Bxz,0.620674878544297,1.0424473396716565,0.0,0.5,0.0,2.0,4.0,5.0,0.5,0.5,0.15516871963607426,0.5770025736269474,0.366,4.655013351369848,1.163753337842462
2561,Bz,0.7727062706531352,1.7031212288390347,0.0,0.5,0.0,2.0,4.0,5.0,2.5,0.5,0.1931765676632838,0.6935828749175472,0.366,5.595534041950555,1.3988835104876387
2562,B,0.5383896873734956,0.9596079355030321,0.0,2.5,0.0,2.0,4.0,5.0,2.5,2.5,0.1345974218433739,0.5035645150650082,0.366,4.062546075261078,1.0156365188152694
2562,Bx,0.7001621968433304,1.7530773467287584,0.0,2.5,0.0,2.0,4.0,5.0,0.5,2.5,0.1750405492108326,0.6275307119898874,0.366,5.062653056026383,1.2656632640065957
2562,Bxz,0.57059592340602,0.9815290493201212,0.0,0.5,0.0,2.0,4.0,5.0,0.5,0.5,0.142648980851505,0.5329924459380906,0.366,4.299958207162511,1.0749895517906278
2562,Bz,0.7272746197201417,1.6998689264058482,0.0,0.5,0.0,2.0,4.0,5.0,2.5,0.5,0.18181865493003543,0.6532298774678006,0.366,5.269983081725876,1.317495770431469
3210,B,0.2055316000187526,0.4835695840206582,0.08754267589880618,1.0,45.0,3.0,2.0,0.0,2.5,2.5,0.1027658000093763,0.20168295224178148,0.366,1.6270929772943639,0.8135464886471819
3210,Bx,0.2649458890220595,0.5692841498120398,0.04058671409520067,2.0,45.0,3.0,2.0,0.0,0.5,2.5,0.13247294451102976,0.2569187193551468,0.366,2.072711844762554,1.036355922381277
3210,Bxz,0.21270787551645146,0.4601241376260114,0.1793117751804151,1.0,45.0,3.0,2.0,0.0,0.5,0.5,0.10635393775822573,0.20970077739120388,0.366,1.6917774082231607,0.8458887041115803
3210,Bz,0.2516110477342986,0.5133495202578693,0.19435452306912726,2.0,45.0,3.0,2.0,0.0,2.5,0.5,0.1258055238671493,0.24595727322105393,0.366,1.9842795215169495,0.9921397607584748
3211,B,0.22950344012344612,0.5996468479404851,0.10022841913043688,1.0,45.0,3.0,2.0,5.0,2.5,2.5,0.11475172006172306,0.2219410837737979,0.366,1.790527036457352,0.895263518228676
3211,Bx,0.24356414610928978,0.6047263448397728,0.0,2.0,45.0,3.0,2.0,5.0,0.5,2.5,0.12178207305464489,0.23517392744944918,0.366,1.897284036862991,0.9486420184314955
3211,Bxz,0.23480412825702712,0.6290343313843924,0.0,1.0,45.0,3.0,2.0,5.0,0.5,0.5,0.11740206412851356,0.22606123940363607,0.366,1.8237667139618383,0.9118833569809192
3211,Bz,0.25427140264094744,0.6572797673543291,0.053365130069928386,2.0,45.0,3.0,2.0,5.0,2.5,0.5,0.12713570132047372,0.24407519825387936,0.366,1.969095734648538,0.984547867324269
3212,B,0.22694034006809105,0.5549842216135465,0.09758441695074105,1.0,45.0,3.0,2.0,5.0,2.5,2.5,0.11347017003404553,0.22089824296184468,0.366,1.7821138367163503,0.8910569183581751
3212,Bx,0.27900992228298005,0.6032036104067912,0.0,2.0,45.0,3.0,2.0,5.0,0.5,2.5,0.13950496114149002,0.26944935725560637,0.366,2.173803745204462,1.086901872602231
3212,Bxz,0.23503302312197508,0.5358179250205779,0.10099235508475517,1.0,45.0,3.0,2.0,5.0,0.5,0.5,0.11751651156098754,0.22904233890437978,0.366,1.8478169671357452,0.9239084835678726
3212,Bz,0.2659749384169344,0.5504769593122091,0.13887488099065226,2.0,45.0,3.0,2.0,5.0,2.5,0.5,0.1329874692084672,0.2586055650501773,0.366,2.086320604222168,1.043160302111084
3220,B,0.4120251679140517,0.30670586719016935,0.5922927032738854,1.0,45.0,3.0,4.0,0.0,2.5,2.5,0.10300629197851292,0.41909219733033964,0.366,3.381059051027684,0.845264762756921
3220,Bx,0.626356348526684,0.6276808913217633,0.0398915015823632,2.0,45.0,3.0,4.0,0.0,0.5,2.5,0.156589087131671,0.603375926300556,0.366,4.867782434953535,1.2169456087383836
3220,Bxz,0.47041835586666503,0.4056432935059061,0.3670099112339637,1.0,45.0,3.0,4.0,0.0,0.5,0.5,0.11760458896666626,0.4674943379392011,0.366,3.7715471026716325,0.9428867756679081
3220,Bz,0.600064172401379,0.5983362153228341,0.17328038102919194,2.0,45.0,3.0,4.0,0.0,2.5,0.5,0.15001604310034475,0.5802324309700666,0.366,4.681070477875771,1.1702676194689428
3221,B,0.39484456462632356,0.3666268113429118,0.34146501399375895,1.0,45.0,3.0,4.0,5.0,2.5,2.5,0.09871114115658089,0.39648251754434244,0.366,3.1986536925689872,0.7996634231422468
3221,Bx,0.5537847087019226,0.6115523297294958,0.0,2.0,45.0,3.0,4.0,5.0,0.5,2.5,0.13844617717548066,0.5342044854998191,0.366,4.309736431039001,1.0774341077597502
3221,Bxz,0.45876932232156514,0.4969067504505431,0.10603138478422533,1.0,45.0,3.0,4.0,5.0,0.5,0.5,0.11469233058039129,0.4490956781586467,0.366,3.6231144771680155,0.9057786192920039
3221,Bz,0.5229479295744285,0.5664306026239638,0.06521694088092207,2.0,45.0,3.0,4.0,5.0,2.5,0.5,0.13073698239360712,0.5072171958248892,0.366,4.092014362722359,1.0230035906805897
3222,B,0.4198807370427403,0.45162509931302175,0.19520267547111844,1.0,45.0,3.0,4.0,5.0,2.5,2.5,0.10497018426068508,0.4149181576794999,0.366,3.347384659973116,0.836846164993279
