runs,xPosInd,zPosInd,uStar,z0,disp,id,A,C,WS,delT,xPos,zPos,blockType,uStarNorm,uStar_2,z0_2,u10_2,uScaling
2530,2.0,2.0,0.24854052231257248,0.848444719059566,0.0,0.0,45.0,2.0,2.0,0.0,2.0,2.0,B,0.12427026115628624,0.2343350404372362,0.366,1.890516250338928,0.945258125169464
2530,2.0,3.0,0.31228404469607474,0.9373406617607026,0.5227485866099557,3.0,45.0,2.0,2.0,0.0,2.0,3.0,B,0.15614202234803737,0.29238874398440434,0.366,2.3588690401884493,1.1794345200942247
2530,3.0,0.0,0.33018494041052376,1.1195456575954814,0.0,3.0,45.0,2.0,2.0,0.0,3.0,0.0,Bz,0.16509247020526188,0.3053289686125016,0.366,2.4632653135618554,1.2316326567809277
2530,3.0,1.0,0.3527560704462413,1.1902875518127995,0.0,2.0,45.0,2.0,2.0,0.0,3.0,1.0,Bz,0.17637803522312065,0.32480487553079684,0.366,2.6203887145283753,1.3101943572641876
2530,3.0,2.0,0.31315892075781804,1.3590021161793093,0.0,1.0,45.0,2.0,2.0,0.0,3.0,2.0,B,0.15657946037890902,0.28568211626746715,0.366,2.3047627970069517,1.1523813985034759
2530,3.0,3.0,0.26858011204825233,1.0128273861777992,0.0,0.0,45.0,2.0,2.0,0.0,3.0,3.0,B,0.13429005602412616,0.2501094182977847,0.366,2.017777276383989,1.0088886381919946
2531,0.0,0.0,0.28121600268337427,1.126459326459208,0.0,0.0,45.0,2.0,2.0,5.0,0.0,0.0,Bxz,0.14060800134168713,0.2599343175999515,0.366,2.0970404192500034,1.0485202096250017
2531,0.0,1.0,0.33813813732301423,1.1282270812449713,0.17055310440356983,3.0,45.0,2.0,2.0,5.0,0.0,1.0,Bxz,0.16906906866150712,0.31251443024293024,0.366,2.5212345867579,1.26061729337895
2531,0.0,2.0,0.36543350174063105,1.1864484742798955,0.0,2.0,45.0,2.0,2.0,5.0,0.0,2.0,Bx,0.18271675087031553,0.336553889314281,0.366,2.7151748013282364,1.3575874006641182
2531,0.0,3.0,0.284316787816081,0.9653349471986394,0.0,1.0,45.0,2.0,2.0,5.0,0.0,3.0,Bx,0.1421583939080405,0.26565544254438533,0.366,2.14319604180432,1.07159802090216
2531,1.0,0.0,0.3184374529790671,1.259805005038726,0.0,1.0,45.0,2.0,2.0,5.0,1.0,0.0,Bxz,0.15921872648953356,0.29204285435490385,0.366,2.3560785485736475,1.1780392742868238
2531,1.0,1.0,0.2930071766813039,1.2390446899076595,0.0,0.0,45.0,2.0,2.0,5.0,1.0,1.0,Bxz,0.14650358834065194,0.26903318043198843,0.366,2.170446206158675,1.0852231030793376
2531,1.0,2.0,0.327316918593379,1.056661832783395,0.0,3.0,45.0,2.0,2.0,5.0,1.0,2.0,Bx,0.1636584592966895,0.3039041345065187,0.366,2.4517703530712187,1.2258851765356094
2531,1.0,3.0,0.3581286056031845,1.1380958486814272,0.0,2.0,45.0,2.0,2.0,5.0,1.0,3.0,Bx,0.17906430280159225,0.33078832198702945,0.366,2.6686606363776835,1.3343303181888417
2531,2.0,0.0,0.35038745659907383,1.08077826025376,0.0,2.0,45.0,2.0,2.0,5.0,2.0,0.0,Bz,0.17519372829953692,0.3248109521348768,0.366,2.620437738006634,1.310218869003317
